[2024-05-15 20:15:29.728]	     |  rename catppuccin-frappe.tmuxtheme => themes/catppuccin_frappe.tmuxtheme (100%)
[2024-05-15 20:15:29.728]	     |  rename catppuccin-latte.tmuxtheme => themes/catppuccin_latte.tmuxtheme (77%)
[2024-05-15 20:15:29.728]	     |  rename catppuccin-macchiato.tmuxtheme => themes/catppuccin_macchiato.tmuxtheme (100%)
[2024-05-15 20:15:29.728]	     |  rename catppuccin-mocha.tmuxtheme => themes/catppuccin_mocha.tmuxtheme (100%)
[2024-05-15 20:15:29.728]	     |  create mode 100644 tmux.tera
[2024-05-15 20:15:29.728]	     |  create mode 100644 utils/interpolate_utils.sh
[2024-05-15 20:15:29.738]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-15 20:15:29.787]	 Done.

[2024-05-16 00:56:14.424]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-16 00:56:14.433]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-16 00:56:14.478]	 Already installed "tpm"
[2024-05-16 00:56:14.478]	 Already installed "tmux"
[2024-05-16 00:56:14.489]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-16 00:56:14.511]	 Updating all plugins!
[2024-05-16 00:56:14.511]	 
[2024-05-16 00:56:15.125]	   "tmux" update success
[2024-05-16 00:56:15.125]	   "tpm" update success
[2024-05-16 00:56:15.128]	     | Already up to date.
[2024-05-16 00:56:15.129]	     | Already up to date.
[2024-05-16 00:56:15.148]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-16 00:56:15.209]	 Done.

[2024-05-16 11:18:59.185]	 List of discovered tpm plugins: catppuccin/tmux tmux-plugins/tpm
[2024-05-16 11:18:59.194]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/install_plugins
[2024-05-16 11:18:59.231]	 Already installed "tpm"
[2024-05-16 11:18:59.233]	 Already installed "tmux"
[2024-05-16 11:18:59.243]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-05-16 11:18:59.261]	 Updating all plugins!
[2024-05-16 11:18:59.261]	 
[2024-05-16 11:18:59.791]	   "tmux" update success
[2024-05-16 11:18:59.793]	     | Already up to date.
[2024-05-16 11:18:59.796]	   "tpm" update success
[2024-05-16 11:18:59.798]	     | Already up to date.
[2024-05-16 11:18:59.808]	 Invoking /home/user/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-05-16 11:18:59.851]	 Done.

